Date,Open,High,Low,Close,Adj Close,Volume
1/4/2010,7.6225,7.660714,7.585,7.643214,6.526021,493729600
1/5/2010,7.664286,7.699643,7.616071,7.656429,6.537302,601904800
1/6/2010,7.656429,7.686786,7.526786,7.534643,6.43332,552160000
1/7/2010,7.5625,7.571429,7.466071,7.520714,6.421425,477131200
1/8/2010,7.510714,7.571429,7.466429,7.570714,6.464116,447610800
1/11/2010,7.6,7.607143,7.444643,7.503929,6.407094,462229600
1/12/2010,7.471071,7.491786,7.372143,7.418571,6.334213,594459600
1/13/2010,7.423929,7.533214,7.289286,7.523214,6.423559,605892000
1/14/2010,7.503929,7.516429,7.465,7.479643,6.386358,432894000
1/15/2010,7.533214,7.557143,7.3525,7.354643,6.27963,594067600
1/19/2010,7.440357,7.685357,7.401429,7.68,6.557429,730007600
1/20/2010,7.675357,7.698214,7.482143,7.561786,6.456495,612152800
1/21/2010,7.574286,7.618214,7.400357,7.431071,6.344886,608154400
1/22/2010,7.385,7.410714,7.041429,7.0625,6.030188,881767600
1/25/2010,7.2325,7.310714,7.149643,7.2525,6.192414,1065699600
1/26/2010,7.355357,7.6325,7.235,7.355,6.279933,1867110000
1/27/2010,7.3875,7.520714,7.126071,7.424286,6.339092,1722568400
1/28/2010,7.318929,7.339286,7.096429,7.1175,6.077147,1173502400
1/29/2010,7.181429,7.221429,6.794643,6.859286,5.856677,1245952400
2/1/2010,6.870357,7,6.832143,6.954643,5.938096,749876400
2/2/2010,6.996786,7.011429,6.906429,6.995,5.972554,698342400
2/3/2010,6.970357,7.15,6.943571,7.115357,6.075319,615328000
2/4/2010,7.026071,7.084643,6.841786,6.858929,5.856372,757652000
2/5/2010,6.879643,7,6.816071,6.980714,5.960356,850306800
2/8/2010,6.988929,7.067143,6.928571,6.932857,5.919494,478270800
2/9/2010,7.015,7.053571,6.955357,7.006786,5.982618,632886800
2/10/2010,6.996071,7.021429,6.937857,6.968571,5.949989,370361600
2/11/2010,6.96,7.133929,6.930714,7.095357,6.058242,550345600
2/12/2010,7.075357,7.201429,6.982143,7.156429,6.110387,655468800
2/16/2010,7.212143,7.274643,7.197143,7.264286,6.202478,543737600
2/17/2010,7.2925,7.296786,7.173571,7.233929,6.176559,436396800
2/18/2010,7.201071,7.281786,7.175714,7.2475,6.188146,422825200
2/19/2010,7.209286,7.257143,7.1825,7.2025,6.149725,415469600
2/22/2010,7.226429,7.232143,7.113929,7.157857,6.111607,390563600
2/23/2010,7.142857,7.190357,6.989643,7.037857,6.009146,575094800
2/24/2010,7.079643,7.194286,7.065714,7.166429,6.118926,460566400
2/25/2010,7.049286,7.245,7.031786,7.214286,6.159788,665126000
2/26/2010,7.227857,7.3275,7.214286,7.307857,6.239683,507460800
3/1/2010,7.348214,7.482143,7.3375,7.463929,6.372941,550093600
3/2/2010,7.4975,7.529643,7.419286,7.458929,6.368672,566546400
3/3/2010,7.462143,7.495357,7.426429,7.476071,6.383307,372052800
3/4/2010,7.474286,7.532857,7.451071,7.525357,6.42539,366041200
3/5/2010,7.676429,7.846429,7.665357,7.819643,6.676661,899620400
3/8/2010,7.8575,7.860357,7.794643,7.824286,6.680625,429889600
3/9/2010,7.796786,8.035714,7.781786,7.965,6.800769,920259200
3/10/2010,7.993929,8.052857,7.971429,8.03,6.85627,596218000
3/11/2010,7.996786,8.053571,7.975714,8.053571,6.876397,405700400
3/12/2010,8.120357,8.133214,8.0625,8.092857,6.909938,416323600
3/15/2010,8.049286,8.053571,7.866071,7.994286,6.825776,493502800
3/16/2010,8.006429,8.035,7.946786,8.016071,6.844377,446908000
3/17/2010,8.032143,8.0875,7.973929,8.004286,6.834314,450956800
3/18/2010,8.003571,8.035714,7.950357,8.023214,6.850477,342109600
3/19/2010,8.028214,8.044286,7.901071,7.9375,6.777291,559445600
3/22/2010,7.873929,8.071429,7.8625,8.026786,6.853527,456419600
3/23/2010,8.058571,8.170714,8.003571,8.155714,6.963608,602431200
3/24/2010,8.13,8.221429,8.125357,8.191786,6.99441,597780400
3/25/2010,8.247143,8.248929,8.080357,8.094643,6.911464,542284400
3/26/2010,8.176786,8.283929,8.1625,8.246429,7.041064,640875200
3/29/2010,8.321429,8.3525,8.272143,8.299643,7.086499,540744400
3/30/2010,8.45,8.481429,8.366071,8.423214,7.192008,527310000
3/31/2010,8.410357,8.450357,8.373571,8.392857,7.166091,430659600
4/1/2010,8.478929,8.526071,8.3125,8.4275,7.195668,603145200
4/5/2010,8.392143,8.518214,8.384643,8.5175,7.272514,684507600
4/6/2010,8.507143,8.58,8.464286,8.555,7.304532,447017200
4/7/2010,8.555357,8.64,8.523571,8.592857,7.336856,628502000
4/8/2010,8.587143,8.626429,8.501429,8.569643,7.317035,572989200
4/9/2010,8.6225,8.638929,8.587857,8.635357,7.373144,334182800
4/12/2010,8.65,8.681071,8.636071,8.653214,7.388389,333026400
4/13/2010,8.637857,8.671429,8.611071,8.658214,7.392659,306210800
4/14/2010,8.76,8.778929,8.716786,8.774643,7.49207,404076400
4/15/2010,8.777857,8.893929,8.768214,8.89,7.590567,376784800
4/16/2010,8.8775,8.969286,8.733929,8.835714,7.544214,750545600
4/19/2010,8.8225,8.853214,8.634643,8.823929,7.534152,566924400
4/20/2010,8.876429,8.901786,8.677143,8.735357,7.458528,738326400
4/21/2010,9.242857,9.294643,9.133214,9.257857,7.904655,982391200
4/22/2010,9.222857,9.526786,9.15,9.516786,8.125735,793424800
4/23/2010,9.571071,9.720714,9.535714,9.6725,8.25869,796955600
4/26/2010,9.71,9.730714,9.578214,9.625,8.218134,479068800
4/27/2010,9.545357,9.565714,9.304286,9.358571,7.990646,709343600
